Time;PlayerName;P1;P2;P3;P4
2.65;MPIB3;0;0;0;0
2.65;MPIB1;0;0;0;0
2.7;MPIB2;0;0;0;0.001687886
2.7;MPIB4;0.001302083;0.003665123;0;0
2.7;MPIB3;0;0;0;0
2.7;MPIB1;0;0;0;0
2.75;MPIB2;0;0;0;0.001687886
2.75;MPIB4;0.001302083;0.003665123;0;0
2.75;MPIB3;0;0;0;0
2.75;MPIB1;0;0;0;0
2.8;MPIB2;0;0;0;0.001687886
2.8;MPIB4;0.001302083;0.003665123;0;0
2.8;MPIB3;0;0;0;0
2.8;MPIB1;0;0;0;0
2.85;MPIB2;0;0;0;0.001687886
2.85;MPIB4;0.001446759;0.003858025;0;0
2.85;MPIB3;0;0;0;0
2.85;MPIB1;0;0;0;0
2.9;MPIB2;0;0;0;0.001687886
2.9;MPIB4;0.001446759;0.003858025;0;0
2.9;MPIB3;0;0;0;0
2.9;MPIB1;0;0;0;0
2.95;MPIB2;0;0;0;0.001687886
2.95;MPIB4;0.001446759;0.003858025;0;0
2.95;MPIB3;0;0;0;0
2.95;MPIB1;0;0;0;0
3;MPIB2;0;0;0;0.001687886
3;MPIB4;0.001446759;0.003858025;0;0
3;MPIB3;0;0;0;0
3;MPIB1;0;0;0;0
3.05;MPIB2;0;0;0;0.001687886
3.05;MPIB4;0.001446759;0.003858025;0;0
3.05;MPIB3;0;0;0;0
3.05;MPIB1;0;0;0;0
3.1;MPIB2;0;0;0;0.001687886
3.1;MPIB4;0.001446759;0.003858025;0;0
3.1;MPIB3;0;0;0;0
3.1;MPIB1;0;0;0;0
3.15;MPIB2;0;0;0;0.001687886
3.15;MPIB4;0.001446759;0.003858025;0;0
3.15;MPIB3;0;0;0;0
3.15;MPIB1;0;0;0;0
3.2;MPIB2;0;0;0;0.001687886
3.2;MPIB4;0.001446759;0.003858025;0;0
3.2;MPIB3;0;0;0;0
3.2;MPIB1;0;0;0;0
3.25;MPIB2;0;0;0;0.001687886
3.25;MPIB4;0.001446759;0.003858025;0;0
3.25;MPIB3;0;0;0;0
3.25;MPIB1;0;0;0;0
3.3;MPIB2;0;0;0;0.001687886
3.3;MPIB4;0.001205633;0.004484954;0;0
3.3;MPIB3;0;0;0;0
3.3;MPIB1;0;0;0;0
3.35;MPIB2;0;0;0;0.001687886
3.35;MPIB4;0.001205633;0.005111883;0;0
3.35;MPIB3;0;0;0;0
3.35;MPIB1;0;0;0;0
3.4;MPIB2;0;0;0;0.001687886
3.4;MPIB4;0.001302083;0.005063657;0;0
3.4;MPIB3;0;0;0;0
3.4;MPIB1;0;0;0;0
3.45;MPIB2;0;0;0;0.001687886
3.45;MPIB4;0.001302083;0.005063657;0;0
3.45;MPIB3;0;0;0;0
3.45;MPIB1;0;0;0;0
3.5;MPIB2;0;0;0;0.001687886
3.5;MPIB4;0.001302083;0.005063657;0;0
3.5;MPIB3;0;0;0;0
3.5;MPIB1;0;0;0;0
3.55;MPIB2;0;0;0;0.001687886
3.55;MPIB4;0.001302083;0.005063657;0;0
