,Asocial,Unbiased,Success-based,Unique,ARS,Critical,Conditional,ConditionalARS
58,1332.360272,1330.632206,1317.986401,1334.795886,1322.643871,1308.861563,1308.448723,1306.229833
59,1062.907798,1064.709217,1066.283485,1066.938167,1038.827586,1066.772363,1063.632306,1040.479219
60,1008.290989,977.5313595,973.8764105,975.4395806,1005.940194,974.7862066,968.4418058,969.2099503
61,900.95478,893.6285699,887.072946,881.6125198,892.137343,887.3648077,886.9652051,878.0589678
62,1035.504191,1031.403056,1034.655281,1037.046619,1015.442477,1031.941597,1015.374734,1015.487447
63,1393.209277,1398.111092,1397.096713,1383.276448,1360.113956,1394.416984,1395.281033,1363.01644
64,1009.767081,992.3078169,986.3027186,967.8434566,998.3050452,989.1803821,981.7790581,971.7205572
65,1101.402768,1101.844406,1104.705163,1104.281855,1089.69988,1101.100281,1105.84323,1093.518459
66,1053.809853,1001.209735,1022.256896,997.4832677,1048.275604,1023.25257,1016.690224,1018.454695
67,1368.404919,1369.70034,1366.308419,1375.446595,1342.595143,1363.00141,1362.39034,1339.652541
68,1228.579634,1235.050196,1232.512771,1222.735357,1138.843057,1228.221988,1241.177021,1141.798086
69,1092.80162,1094.64133,1099.462739,1093.598971,1070.412446,1096.935908,1091.124116,1078.579698
70,1076.018322,1055.327149,1053.471458,1065.584906,1053.61536,1053.565025,1046.59945,1030.229572
71,379.7575929,380.0100863,381.3175081,381.9651826,380.2447121,381.180405,378.198075,380.58525
72,885.8990206,871.0211016,874.1724334,869.4018934,843.140454,875.3029672,865.7513463,828.4743804
73,1153.280756,1153.313573,1151.538231,1142.378602,1145.848327,1150.269129,1119.463089,1118.948565
74,1125.061064,1124.577665,1121.462102,1132.389016,1122.967191,1117.885551,1119.266544,1118.284267
75,1011.716278,1014.413197,1011.712918,1015.807565,994.5631111,1008.869288,1006.593386,992.8413309
76,749.3079264,718.5782088,705.0305625,718.9156874,745.5121347,699.1096894,702.8923405,695.3811464
77,965.0687685,963.1924977,968.0864672,958.991568,969.6117651,970.0746685,966.9811321,972.3013516
78,1170.868106,1177.550649,1179.106632,1167.637433,1142.362306,1174.033572,1174.343184,1148.144877
79,1060.667289,1054.494742,1030.222634,1051.374794,1038.581736,1027.809811,998.5064034,1003.221088
80,1342.222011,1344.887416,1343.647351,1350.250154,1321.755679,1338.54331,1341.334433,1322.556685
81,732.7116695,730.5880563,729.377166,730.2359736,732.6512695,729.1215181,728.5236358,729.3812529
82,1274.707422,1274.469829,1269.949272,1281.477252,1267.432502,1270.398438,1269.117656,1263.52702
83,998.2924338,1000.225731,996.989336,1002.627831,992.3966327,990.5672888,993.6239926,988.9389951
84,868.2841313,824.1112379,823.4783773,816.7722867,863.2806803,824.5578958,825.6405222,818.3173326
85,907.3575365,904.1450999,902.9660082,898.0407513,891.4937893,897.0295604,891.6839459,878.4325226
